soc_code,occ_title,revision_pp,revision_resid,pandemic_sensitive,soc_major
41-2022,Parts salespersons,-0.5,1.822284770328277,False,41
41-2031,Retail salespersons,-0.3,0.5060520245740314,False,41
41-3011,Advertising sales agents,1.5,-0.7663143286648344,False,41
41-3021,Insurance sales agents,-2.6,0.7996080370483987,False,41
41-3031,"Securities, commodities, and financial services sales agents",-6.9,-1.9442583554669817,False,41
41-3041,Travel agents,-17.5,-8.753676491081368,False,41
41-3091,"Sales representatives of services, except advertising, insurance, financial services, and travel",-3.6,-0.04078851603010181,False,41
41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",-3.2,-0.2792023037161,False,41
41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",-3.4000000000000004,-1.0378143679413485,False,41
41-9011,Demonstrators and product promoters,-2.5,-0.6565255704362216,False,41
41-9012,Models,-9.7,-5.143266972770729,False,41
41-9021,Real estate brokers,-2.4000000000000004,0.7602028666661491,False,41
41-9022,Real estate sales agents,-2.2,0.8005994197446498,False,41
41-9031,Sales engineers,-0.2000000000000001,2.9602028666661493,False,41
41-9041,Telemarketers,-3.900000000000002,-10.27610308689345,False,41
41-9091,"Door-to-door sales workers, news and street vendors, and related workers",0.4000000000000003,-2.863835871924206,False,41
41-9099,"Sales and related workers, all other",0.8000000000000003,2.842978738215653,False,41
43-1011,First-line supervisors of office and administrative support workers,1.6,1.7277373751576586,False,43
43-2011,"Switchboard operators, including answering service",-2.3000000000000007,-10.99035306725519,False,43
43-2021,Telephone operators,-3.0,-11.889857375907065,False,43
43-2099,"Communications equipment operators, all other",-0.7999999999999998,1.4025821851371525,False,43
43-3011,Bill and account collectors,-2.4000000000000004,-4.7461160521255845,False,43
43-3021,Billing and posting clerks,-1.5,-0.17523677293109508,False,43
43-3031,"Bookkeeping, accounting, and auditing clerks",-1.2999999999999998,-2.2096850298320883,False,43
43-3041,Gambling cage workers,-5.3,-4.294443666774094,False,43
43-3051,Payroll and timekeeping clerks,-1.5999999999999996,-6.739176373251825,False,43
43-3061,Procurement clerks,-1.8999999999999997,-3.7274048496307106,False,43
43-3071,Tellers,-1.3000000000000007,-5.042646212688705,False,43
43-3099,"Financial clerks, all other",-3.0000000000000004,-0.358508335828724,False,43
43-4011,Brokerage clerks,-4.4,-5.549090200214338,False,43
43-4021,Correspondence clerks,-3.5,-3.4520643483030913,False,43
43-4031,"Court, municipal, and license clerks",1.1,2.743970120911904,False,43
43-4041,"Credit authorizers, checkers, and clerks",-2.3000000000000003,-2.9702798594498394,False,43
